user_id|course_id|date_created
6|8|2025-05-01 21:57:53.580099
6|29|2025-05-01 22:43:02.397985
6|26|2025-05-01 22:43:05.028699
6|50|2025-05-02 00:16:41.936681
8|9|2025-05-02 15:10:20.437323
8|26|2025-05-02 15:10:22.042589
9|6|2025-05-02 19:26:42.637444
9|26|2025-05-02 19:26:43.89844
