course_id|skill_id
1|9
1|10
1|11
1|12
1|13
1|14
1|15
1|16
1|17
4|18
4|19
4|20
4|21
4|22
4|11
4|23
4|24
4|25
4|26
4|27
8|28
8|29
8|30
8|31
8|32
8|33
8|34
9|19
9|35
9|36
9|37
9|38
9|11
9|1
9|39
9|40
9|41
9|42
9|43
9|26
11|44
11|45
11|38
11|46
11|47
11|48
11|49
11|50
11|40
11|51
11|52
11|53
12|38
12|54
12|55
12|48
12|56
12|40
13|57
13|58
13|59
13|38
13|60
13|61
13|62
14|63
14|11
14|64
14|40
14|65
14|66
14|67
14|68
14|69
14|70
14|9
16|71
16|72
16|73
16|74
17|75
17|76
17|38
17|77
17|78
17|79
17|80
17|81
17|82
17|83
19|75
19|84
19|85
19|14
19|76
19|86
19|77
19|87
19|88
19|89
19|83
20|75
20|84
20|9
20|14
20|77
20|76
20|85
20|78
20|81
21|77
21|75
21|78
21|85
21|84
21|90
21|88
21|76
21|87
21|79
22|75
22|89
22|9
22|77
23|77
23|76
23|38
23|75
23|84
23|90
24|75
24|14
24|77
24|85
24|84
24|78
24|76
24|91
24|92
24|88
24|93
25|77
25|90
25|75
25|78
25|76
25|79
25|83
26|94
26|95
26|42
26|96
26|11
27|97
27|98
27|99
27|100
27|11
27|101
27|94
29|102
29|89
29|103
29|104
29|11
29|105
29|42
29|19
29|26
29|27
29|106
29|107
31|19
31|108
31|11
31|109
31|110
31|111
31|42
31|112
31|26
31|27
31|106
32|19
32|11
32|113
32|26
32|27
32|106
32|42
34|114
34|115
34|19
34|116
34|11
34|42
34|117
34|26
34|27
35|19
35|35
35|54
35|22
35|38
35|11
35|62
35|40
35|42
35|43
35|48
35|26
35|27
36|19
36|118
36|11
36|119
36|120
36|121
36|122
38|123
40|124
42|125
42|126
42|127
42|95
42|70
43|128
43|124
43|3
43|129
47|130
47|131
47|132
47|133
47|134
47|135
47|136
47|125
47|137
48|138
48|139
48|140
48|141
48|142
48|143
48|144
48|3
48|145
48|146
48|147
48|148
50|149
50|75
50|150
50|129
50|9
50|83
50|151
50|84
50|152
51|153
51|154
51|9
51|155
51|156
51|157
51|158
52|75
52|9
52|86
52|85
52|98
53|38
53|75
53|84
53|90
54|91
54|86
54|85
54|75
54|84
54|159
54|81
54|88
54|16
55|160
55|161
55|162
55|163
55|164
55|67
55|165
55|166
55|167
55|168
55|169
55|170
55|171
56|124
56|172
56|89
57|173
57|11
57|174
57|175
57|176
57|177
57|178
57|179
57|180
57|181
57|105
57|182
57|183
58|172
58|184
58|185
58|40
59|186
59|164
59|187
59|178
59|188
59|189
59|190
59|191
59|192
59|193
60|194
60|195
60|196
60|137
60|197
60|124
60|198
60|199
60|200
60|201
60|202
60|203
62|75
62|84
62|77
62|129
62|16
62|76
62|9
62|83
62|78
62|204
62|86
63|205
63|38
63|206
63|76
63|47
63|207
63|208
63|209
63|210
63|211
63|212
63|40
65|103
65|213
65|38
65|175
65|214
65|105
65|16
65|3
65|215
66|75
66|84
66|14
66|9
66|81
66|87
66|91
66|79
68|103
68|11
68|214
68|175
68|176
68|216
68|217
68|204
68|218
68|173
68|219
68|183
69|103
69|215
71|4
71|129
71|75
71|84
71|220
71|221
71|9
71|16
71|222
71|223
71|93
72|75
72|84
72|14
72|9
72|16
72|83
72|76
72|77
72|38
73|75
73|84
74|129
74|4
74|220
74|222
74|75
74|223
74|84
74|93
74|221
74|224
75|77
75|75
75|78
75|84
75|9
76|129
76|75
76|16
76|76
76|86
76|204
77|129
77|75
77|84
77|16
77|83
77|77
78|4
78|221
78|220
78|129
78|222
78|225
78|93
78|55
78|82
78|87
79|38
79|63
79|226
79|3
79|224
79|227
79|228
79|229
79|230
79|231
79|232
80|4
80|222
80|225
80|221
80|220
80|55
80|233
80|129
80|234
82|55
82|54
82|48
82|128
82|235
82|129
82|236
82|123
83|224
83|234
83|237
83|3
83|235
83|105
83|238
83|239
83|240
83|241
85|242
85|55
85|224
87|213
87|214
87|103
88|103
88|214
88|3
90|103
90|16
91|103
91|105
91|38
91|215
94|103
94|243
94|244
94|245
94|246
94|247
94|248
95|249
95|234
95|250
95|235
96|249
96|251
96|234
97|249
97|234
97|235
97|237
97|239
98|234
98|249
98|251
99|249
99|234
99|237
99|3
99|251
99|235
99|124
99|239
99|129
99|252
100|234
100|249
100|239
100|237
101|234
101|249
101|235
102|253
102|254
102|255
102|256
102|257
102|258
102|259
102|260
102|261
102|262
103|237
103|234
103|235
103|241
103|105
103|238
103|239
103|3
103|232
104|249
